Date,VTDATA.Death,VTDATA.DeathIncrease
2020-3-3,0,0
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,2,2
2020-3-21,2,0
2020-3-22,2,0
2020-3-23,5,3
2020-3-24,7,2
2020-3-25,8,1
2020-3-26,9,1
2020-3-27,10,1
2020-3-28,12,2
2020-3-29,12,0
2020-3-30,12,0
2020-3-31,13,1
2020-4-1,16,3
2020-4-2,17,1
2020-4-3,17,0
2020-4-4,20,3
2020-4-5,22,2
2020-4-6,23,1
2020-4-7,23,0
2020-4-8,23,0
2020-4-9,23,0
2020-4-10,24,1
2020-4-11,25,1
2020-4-12,27,2
2020-4-13,28,1
2020-4-14,29,1
2020-4-15,30,1
2020-4-16,35,5
2020-4-17,35,0
2020-4-18,38,3
2020-4-19,38,0
2020-4-20,38,0
2020-4-21,40,2
2020-4-22,40,0
2020-4-23,43,3
2020-4-24,44,1
2020-4-25,46,2
2020-4-26,46,0
2020-4-27,47,1
2020-4-28,47,0
2020-4-29,47,0
2020-4-30,49,2
2020-5-1,50,1
2020-5-2,51,1
2020-5-3,52,1
2020-5-4,52,0
2020-5-5,52,0
2020-5-6,52,0
2020-5-7,53,1
2020-5-8,53,0
2020-5-9,53,0
2020-5-10,53,0
2020-5-11,53,0
2020-5-12,53,0
2020-5-13,53,0
2020-5-14,53,0
2020-5-15,53,0
2020-5-16,53,0
2020-5-17,54,1
2020-5-18,54,0
2020-5-19,54,0
2020-5-20,54,0
2020-5-21,54,0
2020-5-22,54,0
2020-5-23,54,0
2020-5-24,54,0
2020-5-25,54,0
2020-5-26,54,0
2020-5-27,54,0
2020-5-28,55,1
2020-5-29,55,0
2020-5-30,55,0
2020-5-31,55,0
2020-6-1,55,0
2020-6-2,55,0
2020-6-3,55,0
2020-6-4,55,0
2020-6-5,55,0
2020-6-6,55,0
2020-6-7,55,0
2020-6-8,55,0
2020-6-9,55,0
2020-6-10,55,0
2020-6-11,55,0
2020-6-12,55,0
2020-6-13,55,0
2020-6-14,55,0
2020-6-15,55,0
2020-6-16,55,0
2020-6-17,55,0
2020-6-18,56,1
2020-6-19,56,0
2020-6-20,56,0
2020-6-21,56,0
2020-6-22,56,0
2020-6-23,56,0
2020-6-24,56,0
2020-6-25,56,0
2020-6-26,56,0
2020-6-27,56,0
2020-6-28,56,0
2020-6-29,56,0
2020-6-30,56,0
2020-7-1,56,0
2020-7-2,56,0
2020-7-3,56,0
2020-7-4,56,0
2020-7-5,56,0
2020-7-6,56,0
2020-7-7,56,0
2020-7-8,56,0
2020-7-9,56,0
2020-7-10,56,0
2020-7-11,56,0
2020-7-12,56,0
2020-7-13,56,0
2020-7-14,56,0
2020-7-15,56,0
2020-7-16,56,0
2020-7-17,56,0
2020-7-18,56,0
2020-7-19,56,0
2020-7-20,56,0
2020-7-21,56,0
2020-7-22,56,0
2020-7-23,56,0
2020-7-24,56,0
2020-7-25,56,0
2020-7-26,56,0
2020-7-27,56,0
2020-7-28,56,0
2020-7-29,56,0
2020-7-30,57,1
2020-7-31,57,0
2020-8-1,57,0
2020-8-2,57,0
2020-8-3,57,0
2020-8-4,57,0
2020-8-5,57,0
2020-8-6,58,1
2020-8-7,58,0
2020-8-8,58,0
2020-8-9,58,0
2020-8-10,58,0
2020-8-11,58,0
2020-8-12,58,0
2020-8-13,58,0
2020-8-14,58,0
2020-8-15,58,0
2020-8-16,58,0
2020-8-17,58,0
2020-8-18,58,0
2020-8-19,58,0
2020-8-20,58,0
2020-8-21,58,0
2020-8-22,58,0
2020-8-23,58,0
2020-8-24,58,0
2020-8-25,58,0
2020-8-26,58,0
2020-8-27,58,0
2020-8-28,58,0
2020-8-29,58,0
2020-8-30,58,0
2020-8-31,58,0
2020-9-1,58,0
2020-9-2,58,0
2020-9-3,58,0
2020-9-4,58,0
2020-9-5,58,0
2020-9-6,58,0
2020-9-7,58,0
2020-9-8,58,0
2020-9-9,58,0
2020-9-10,58,0
2020-9-11,58,0
2020-9-12,58,0
2020-9-13,58,0
2020-9-14,58,0
2020-9-15,58,0
2020-9-16,58,0
2020-9-17,58,0
2020-9-18,58,0
2020-9-19,58,0
2020-9-20,58,0
2020-9-21,58,0
2020-9-22,58,0
2020-9-23,58,0
2020-9-24,58,0
2020-9-25,58,0
2020-9-26,58,0
2020-9-27,58,0
2020-9-28,58,0
2020-9-29,58,0
2020-9-30,58,0
2020-10-1,58,0
2020-10-2,58,0
2020-10-3,58,0
2020-10-4,58,0
2020-10-5,58,0
2020-10-6,58,0
2020-10-7,58,0
2020-10-8,58,0
2020-10-9,58,0
2020-10-10,58,0
2020-10-11,58,0
2020-10-12,58,0
2020-10-13,58,0
2020-10-14,58,0
2020-10-15,58,0
2020-10-16,58,0
2020-10-17,58,0
2020-10-18,58,0
2020-10-19,58,0
2020-10-20,58,0
2020-10-21,58,0
2020-10-22,58,0
2020-10-23,58,0
2020-10-24,58,0
2020-10-25,58,0
2020-10-26,58,0
2020-10-27,58,0
2020-10-28,58,0
2020-10-29,58,0
2020-10-30,58,0
2020-10-31,58,0
2020-11-1,58,0
2020-11-2,58,0
2020-11-3,58,0
2020-11-4,58,0
2020-11-5,58,0
2020-11-6,58,0
2020-11-7,59,1
2020-11-8,59,0
2020-11-9,59,0
2020-11-10,59,0
2020-11-11,59,0
2020-11-12,59,0
2020-11-13,59,0
2020-11-14,59,0
2020-11-15,59,0
2020-11-16,59,0
2020-11-17,59,0
2020-11-18,60,1
2020-11-19,61,1
2020-11-20,62,1
2020-11-21,63,1
2020-11-22,63,0
2020-11-23,63,0
2020-11-24,64,1
2020-11-25,64,0
2020-11-26,64,0
2020-11-27,67,3
2020-11-28,67,0
2020-11-29,67,0
2020-11-30,69,2
2020-12-1,72,3
2020-12-2,74,2
2020-12-3,75,1
2020-12-4,77,2
2020-12-5,79,2
2020-12-6,79,0
2020-12-7,81,2
2020-12-8,85,4
2020-12-9,86,1
2020-12-10,89,3
2020-12-11,93,4
2020-12-12,95,2
2020-12-13,95,0
2020-12-14,96,1
2020-12-15,100,4
2020-12-16,105,5
2020-12-17,105,0
2020-12-18,107,2
2020-12-19,108,1
2020-12-20,111,3
2020-12-21,111,0
2020-12-22,112,1
2020-12-23,117,5
2020-12-24,120,3
2020-12-25,120,0
2020-12-26,121,1
2020-12-27,127,6
2020-12-28,129,2
2020-12-29,130,1
2020-12-30,134,4
2020-12-31,136,2
2021-1-1,136,0
2021-1-2,139,3
2021-1-3,140,1
2021-1-4,144,4
2021-1-5,149,5
2021-1-6,152,3
2021-1-7,155,3
2021-1-8,156,1
2021-1-9,156,0
2021-1-10,156,0
2021-1-11,156,0
2021-1-12,158,2
2021-1-13,158,0
2021-1-14,162,4
2021-1-15,163,1
2021-1-16,163,0
2021-1-17,163,0
2021-1-18,163,0
2021-1-19,163,0
2021-1-20,165,2
2021-1-21,168,3
2021-1-22,169,1
2021-1-23,170,1
2021-1-24,170,0
2021-1-25,171,1
2021-1-26,171,0
2021-1-27,172,1
2021-1-28,172,0
2021-1-29,172,0
2021-1-30,173,1
2021-1-31,174,1
2021-2-1,175,1
2021-2-2,176,1
2021-2-3,179,3
2021-2-4,181,2
2021-2-5,181,0
2021-2-6,182,1
2021-2-7,183,1
2021-2-8,183,0
2021-2-9,186,3
2021-2-10,187,1
2021-2-11,188,1
2021-2-12,189,1
2021-2-13,189,0
2021-2-14,189,0
2021-2-15,190,1
2021-2-16,191,1
2021-2-17,191,0
2021-2-18,193,2
2021-2-19,193,0
2021-2-20,196,3
2021-2-21,197,1
2021-2-22,198,1
2021-2-23,199,1
2021-2-24,201,2
2021-2-25,203,2
2021-2-26,204,1
2021-2-27,204,0
2021-2-28,204,0
2021-3-1,205,1
2021-3-2,206,1
2021-3-3,207,1
2021-3-4,207,0
2021-3-5,207,0
2021-3-6,208,1
2021-3-7,208,0
